decision,call_type,contact_level,contact_trigger,contact_region,comment,clip_url,human_level
CNC,Foul: Shooting,none,avoids making contact,arm,Allen (MIL) contests the jump shot attempt and avoids making contact with Thomas' (BKN) arm.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200995_2123_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,none,does not initiate contact,unstated,"Luwawu-Cabarrot (ATL) moves along with Curry (PHI) and engages with him, but does not initiate contact that causes him to fall to the floor.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100335_2101_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,none,avoids making contact,ball,"Suggs (ORL) goes to the ground in pursuit of the loose ball and avoids making contact with Gilgeous-Alexander (OKC), who is able to recover the ball.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200105_2189_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,none,avoids making illegal contact,lower_body,Collins (SAS) retreats in Sengun's (HOU) path and avoids making illegal contact with Sengun during the layup attempt at the basket.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300083_2207_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,none,does not deliver contact,unstated,Horford (BOS) establishes himself in a screening position in Maxey's (PHI) path and does not deliver contact.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100322_2100_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,none,does not deliver contact,unstated,Yabusele (PHI) establishes a screening position in Beal's (PHX) path and does not deliver contact as he sets the pick.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400167_2136_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,none,avoids making contact,arm,Black (ORL) contests the jump shot attempt and avoids making contact with Gillespie's (PHX) arm.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500811_2158_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,none,does not make any contact,lower_body,Simmons (PHI) makes foot to foot contact with himself during the drive. Schroder (LAL) does not make any contact with Simmons that affects his SQBR.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000681_2258_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,none,does not deliver contact,unstated,Gordon (ORL) establishes himself in a screening position in the path of Holiday (MEM) and does not deliver contact.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021801080_2130_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,none,does not deliver contact,unstated,Griffin (DET) sets the screen on Barton (DEN) and does not deliver contact.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021801115_2201_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,marginal,brushes,arm,Hardaway Jr. (DAL) brushes Williams' (OKC) left arm and the contact does not affect his layup attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0042300224_2273_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,hand,Hart (NOP) brings his hands toward Holiday's (MIL) side and marginal contact occurs at the end of Holiday's drive.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100438_2097_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,arm,Batum (PHI) rests his forearm on Brunson's (NYK) side and the contact prior to Brunson's pass is marginal.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0042300116_2266_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,body,Sabonis (SAC) reaches in and the contact with Jokic's (DEN) side is marginal.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022401225_2108_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,marginal,marginal,unstated,Powell (TOR) makes marginal contact with Valentine (CHI) as he disengages from the contact.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900345_2166_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,unstated,Payne (PHI) and Herro (MIA) engage and disengage with one another and marginal contact occurs during the inbound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300779_2095_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,marginal,marginal,unstated,Jackson (DET) moves along Payton's (NYK) path and makes marginal contact during his driving shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900779_2163_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,incidental,unstated,Bogdanovic (UTA) makes incidental contact with Gordon (ORL) that does not affect his FOM during the inbounds pass.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021900405_2236_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,body,Wagner (ORL) moves toward Hunter (ATL) and marginal side-to-side contact occurs as the errant pass is made.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200454_2145_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,marginal,marginal,ball,Kleber (DAL) makes marginal contact with Siakam (TOR) off ball that does not affect his ability to get to the pass.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100675_2123_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,affect,ball,"Smith Jr. (NYK) makes some contact with Collison (IND) on the perimeter, but doesn't affect his ability to maintain control of the ball.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021801007_2162_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,affecting,clamps,arm,Davis (LAL) briefly clamps Nurkic's (PHX) arm and releases as he goes to grab the rebound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400111_2131_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,affecting,delivers contact,arm,Carter Jr. (ORL) rests his hand on Brissett (IND) as Hield (IND) extends his arms and delivers contact to his teammate Brissett's back during the rebound.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100933_2217_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,lose control,arm,"Drummond (PHI) slides his hand across Morant's (MEM) arm, causing Morant to momentarily lose control of the ball, which he quickly recovers.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100761_2147_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,lose control,arm,"LLB shows Ariza (WAS) makes contact to Collison's (IND) arm that causes Collison to momentarily lose control of the ball, and he quickly regains possession.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0021800886_1128_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,lose possession,ball,Podziemski (GSW) makes contact to the ball to cause Williams (OKC) to lose possession.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022500920_2095_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,affecting,causes him to fall,lower_body,"Griffin (DET) incidentally steps on Drummond's (CLE) foot while trying to defend, which causes him to fall to the ground.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022000023_2186_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,affecting,illegal contact,lower_body,There is no clear and conclusive video evidence that shows Sochan (SAS) makes illegal contact with Green (HOU) during his jump shot attempt.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400094_2164_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,grab,arm,"Marshall (DAL) and Butler III (GSW) grab each others' arms briefly, but both players are able to move freely.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400782_2161_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Personal,affecting,sqbr,unstated,"White (CHI) reaches in towards Bogdanovic (LAC), who moves through the contact and his SQBR is unaffected.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022400842_2126_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,legal,engage and disengage,unstated,Hunter (ATL) and Eubanks (POR) briefly engage and disengage with one another during rebounding.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022101021_2107_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,legal,legally contests,lower_body,"Fontecchio (UTA) legally contests Cancar's (DEN) jump shot, making ""high-five"" contact after the ball is released.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022201213_2092_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Offensive,legal,establishes,unstated,Holiday (MIL) establishes himself in a screening position in Barnes' (TOR) path and absorbs the contact.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022100329_2198_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Shooting,legal,legally contests,lower_body,"Holmgren (OKC) legally contests Jokic's (DEN) jump shot, making ""high-five"" contact after the ball is released.",https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022300340_2158_DF%20BCAST_1509kbps.mp4,
CNC,Foul: Loose Ball,legal,engage and disengage,unstated,Davis (LAL) and Williamson (NOP) engage and disengage with one another during rebounding.,https://ak-static.cms.nba.com/wp-content/uploads/referee-clips/0022200117_2197_DF%20BCAST_1509kbps.mp4,
